242,DOX,Amdocs Limited,9.92B,85.62,-0.56%,4.97B
243,WBA,"Walgreens Boots Alliance, Inc.",9.91B,11.48,-2.79%,145.53B
244,PPC,Pilgrim's Pride Corporation,9.83B,41.47,-1.75%,17.56B
245,SFM,"Sprouts Farmers Market, Inc.",9.78B,97.67,-3.07%,7.19B
246,MTCH,"Match Group, Inc.",9.74B,36.67,-2.40%,3.44B
247,HTHT,H World Group Limited,9.65B,28.23,-1.12%,3.15B
248,CHK,Chesapeake Energy Corporation,9.51B,72.43,-3.48%,5.05B
249,LBRDK,Liberty Broadband Corporation,9.41B,66.06,-0.89%,980.00M
250,LBRDA,Liberty Broadband Corporation,9.39B,65.02,-1.23%,980.00M
251,MMYT,MakeMyTrip Limited,9.32B,84.89,-5.14%,840.31M
252,WWD,"Woodward, Inc.",9.28B,152.36,-1.65%,3.20B
253,LNW,"Light & Wonder, Inc.",9.24B,102.52,-3.49%,2.99B
254,HSIC,"Henry Schein, Inc.",9.09B,71.02,-2.42%,12.45B
255,RGEN,Repligen Corporation,9.05B,161.67,-2.41%,602.35M
256,VFS,VinFast Auto Ltd.,9.00B,3.91,0.26%,1.34B
257,XP,XP Inc.,8.98B,16.37,-1.56%,3.14B
258,PCTY,Paylocity Holding Corporation,8.92B,158.09,6.65%,1.35B
259,MKTX,MarketAxess Holdings Inc.,8.89B,234.63,6.06%,759.70M
260,RGLD,"Royal Gold, Inc.",8.85B,134.62,-2.13%,584.23M
261,HAS,"Hasbro, Inc.",8.85B,63.46,-2.38%,4.76B
262,WYNN,"Wynn Resorts, Limited",8.61B,76.8,-2.43%,6.97B
263,SEIC,SEI Investments Company,8.50B,65.41,-2.74%,1.99B
264,CART,Maplebear Inc.,8.35B,31.55,-4.45%,3.10B
265,WIX,Wix.com Ltd.,8.24B,148.02,0.06%,1.61B
266,PCVX,"Vaxcyte, Inc.",8.23B,75.67,-3.72%,-
